Priority,Score,Store Location,Category,Product,Weather,Current Inventory,Predicted Demand,Supply Gap,Lead Time (Days),AI Recommendation,Financial Impact ($)
CRITICAL,160,"Chicago, IL",Appliances,Headphones,Stormy,49,333.19837621826446,284.19837621826446,9,EMERGENCY AIR FREIGHT,254053.45445279314
CRITICAL,160,"Los Angeles, CA",Electronics,Fridge,Sunny,17,269.90467184438154,252.90467184438154,10,EMERGENCY AIR FREIGHT,249561.27208259882
CRITICAL,160,"Chicago, IL",Electronics,Tablet,Cloudy,4,285.81351516906295,281.81351516906295,10,EMERGENCY AIR FREIGHT,245293.3017383041
CRITICAL,160,"Chicago, IL",Appliances,Smartphone,Sunny,0,278.31046874057705,278.31046874057705,10,EMERGENCY AIR FREIGHT,235536.93279983776
CRITICAL,160,"Los Angeles, CA",Appliances,Headphones,Stormy,69,319.35643558735086,250.35643558735086,8,EMERGENCY AIR FREIGHT,233885.48569005905
CRITICAL,160,"Miami, FL",Appliances,Laptop,Rainy,52,309.3324750203724,257.3324750203724,8,EMERGENCY AIR FREIGHT,233171.52894070963
CRITICAL,160,"Los Angeles, CA",Appliances,Fridge,Sunny,15,315.7940748019618,300.7940748019618,8,EMERGENCY AIR FREIGHT,229397.59320696816
CRITICAL,160,"New York, NY",Electronics,Washing Machine,Stormy,20,298.6811046450211,278.6811046450211,10,EMERGENCY AIR FREIGHT,227069.36406476318
CRITICAL,160,"Los Angeles, CA",Appliances,Laptop,Sunny,13,293.5211768619589,280.5211768619589,10,EMERGENCY AIR FREIGHT,214133.03514580772
CRITICAL,160,"Miami, FL",Appliances,Washing Machine,Cloudy,1,322.29471886212633,321.29471886212633,9,EMERGENCY AIR FREIGHT,211958.12603334474
CRITICAL,160,"Los Angeles, CA",Appliances,Fridge,Cloudy,56,250.55283020189717,194.55283020189717,9,EMERGENCY AIR FREIGHT,203669.57582515804
CRITICAL,160,"Dallas, TX",Appliances,Smartphone,Cloudy,47,233.61983450781193,186.61983450781193,10,EMERGENCY AIR FREIGHT,197393.39755394793
CRITICAL,160,"Chicago, IL",Appliances,Fridge,Cloudy,12,288.68908321203077,276.68908321203077,10,EMERGENCY AIR FREIGHT,195317.59073020463
CRITICAL,160,"Chicago, IL",Electronics,Fridge,Cloudy,30,291.4889305847236,261.4889305847236,10,EMERGENCY AIR FREIGHT,187165.93184462763
CRITICAL,160,"Miami, FL",Electronics,Camera,Stormy,25,256.0247785950393,231.02477859503932,10,EMERGENCY AIR FREIGHT,186693.43383043722
CRITICAL,160,"Miami, FL",Electronics,TV,Sunny,4,252.68786045736596,248.68786045736596,8,EMERGENCY AIR FREIGHT,169831.42678493977
CRITICAL,160,"Dallas, TX",Electronics,Camera,Stormy,51,262.00649054436263,211.00649054436263,8,EMERGENCY AIR FREIGHT,156921.3068880316
CRITICAL,160,"New York, NY",Electronics,Smartphone,Sunny,26,269.5331527846116,243.53315278461162,9,EMERGENCY AIR FREIGHT,153710.82004306332
CRITICAL,160,"Miami, FL",Appliances,Washing Machine,Rainy,24,273.4808210142177,249.48082101421772,8,EMERGENCY AIR FREIGHT,152881.8471175126
CRITICAL,160,"Dallas, TX",Electronics,Washing Machine,Cloudy,23,306.4763438341154,283.4763438341154,8,EMERGENCY AIR FREIGHT,152467.75153117898
CRITICAL,160,"New York, NY",Appliances,TV,Cloudy,28,296.5595961178962,268.5595961178962,9,EMERGENCY AIR FREIGHT,151327.96122051217
CRITICAL,160,"New York, NY",Electronics,Headphones,Cloudy,19,272.29039267738864,253.29039267738864,9,EMERGENCY AIR FREIGHT,144623.74841093537
CRITICAL,160,"New York, NY",Appliances,TV,Sunny,20,295.0573799171952,275.0573799171952,10,EMERGENCY AIR FREIGHT,130478.96931131989
CRITICAL,160,"Chicago, IL",Electronics,Headphones,Cloudy,65,300.67903870268924,235.67903870268924,9,EMERGENCY AIR FREIGHT,123752.7064323951
CRITICAL,160,"Miami, FL",Appliances,Smartphone,Stormy,1,284.21631593925844,283.21631593925844,8,EMERGENCY AIR FREIGHT,110893.34850601664
CRITICAL,160,"Chicago, IL",Appliances,Washing Machine,Sunny,24,264.300308382008,240.30030838200798,10,EMERGENCY AIR FREIGHT,102226.15418879002
CRITICAL,160,"Chicago, IL",Appliances,Laptop,Sunny,4,311.02071795381465,307.02071795381465,8,EMERGENCY AIR FREIGHT,100484.81077910401
CRITICAL,160,"Los Angeles, CA",Electronics,Tablet,Sunny,60,334.99724945506676,274.99724945506676,9,EMERGENCY AIR FREIGHT,99048.50930872594
CRITICAL,160,"New York, NY",Appliances,Laptop,Cloudy,17,345.7454872885511,328.7454872885511,8,EMERGENCY AIR FREIGHT,98761.71929122652
CRITICAL,160,"Chicago, IL",Appliances,TV,Cloudy,5,329.6161397288333,324.6161397288333,8,EMERGENCY AIR FREIGHT,88311.82081322909
CRITICAL,160,"Los Angeles, CA",Appliances,Laptop,Cloudy,14,269.91880662096156,255.91880662096156,10,EMERGENCY AIR FREIGHT,77034.11998097564
CRITICAL,160,"Chicago, IL",Appliances,Laptop,Sunny,23,280.6548916875702,257.6548916875702,9,EMERGENCY AIR FREIGHT,53566.45198184585
CRITICAL,160,"Chicago, IL",Appliances,TV,Stormy,14,289.57756941562513,275.57756941562513,9,EMERGENCY AIR FREIGHT,49727.972401049556
CRITICAL,160,"Chicago, IL",Appliances,Headphones,Sunny,25,293.69586171188433,268.69586171188433,9,EMERGENCY AIR FREIGHT,41247.50173139136
CRITICAL,160,"Los Angeles, CA",Electronics,Headphones,Sunny,44,260.96955459443126,216.96955459443126,8,EMERGENCY AIR FREIGHT,34801.91655694677
CRITICAL,160,"Chicago, IL",Appliances,TV,Stormy,50,291.1487991072864,241.14879910728638,10,EMERGENCY AIR FREIGHT,28646.065845954552
CRITICAL,160,"New York, NY",Electronics,Tablet,Cloudy,38,307.7108675553477,269.7108675553477,8,EMERGENCY AIR FREIGHT,26844.322647783756
CRITICAL,160,"Dallas, TX",Appliances,Smartphone,Cloudy,17,251.6685526234916,234.6685526234916,8,EMERGENCY AIR FREIGHT,23581.84285313467
CRITICAL,160,"Dallas, TX",Electronics,Tablet,Sunny,56,292.0554529178625,236.0554529178625,9,EMERGENCY AIR FREIGHT,22748.66399769441
CRITICAL,160,"Miami, FL",Appliances,TV,Rainy,25,261.17429782541507,236.17429782541507,10,EMERGENCY AIR FREIGHT,21798.88768928581
CRITICAL,140,"Chicago, IL",Electronics,TV,Rainy,41,361.47341347296236,320.47341347296236,9,Weather-Priority Restock,588273.8167075086
CRITICAL,140,"Los Angeles, CA",Electronics,Fridge,Rainy,45,301.50679732550935,256.50679732550935,9,Weather-Priority Restock,466978.3197350095
CRITICAL,140,"New York, NY",Electronics,Smartphone,Rainy,98,325.3292521574256,227.32925215742563,10,Weather-Priority Restock,427165.3045589322
CRITICAL,140,"Los Angeles, CA",Electronics,Camera,Stormy,54,288.8469813843511,234.84698138435112,9,Weather-Priority Restock,417518.00891454093
CRITICAL,140,"New York, NY",Appliances,Headphones,Rainy,80,286.64034739331277,206.64034739331277,9,Weather-Priority Restock,412561.5863776968
CRITICAL,140,"Los Angeles, CA",Electronics,Fridge,Stormy,51,298.2181575761931,247.2181575761931,9,Weather-Priority Restock,396137.4313369403
CRITICAL,140,"Los Angeles, CA",Appliances,Tablet,Rainy,68,327.9034106975232,259.9034106975232,10,Weather-Priority Restock,392571.10668807395
CRITICAL,140,"Chicago, IL",Electronics,Tablet,Rainy,76,301.06676166904157,225.06676166904157,8,Weather-Priority Restock,383131.14838920947
CRITICAL,140,"New York, NY",Appliances,Fridge,Stormy,94,342.65021210851285,248.65021210851285,10,Weather-Priority Restock,376821.93694408797
CRITICAL,140,"Miami, FL",Appliances,Fridge,Rainy,61,326.40066073135114,265.40066073135114,10,Weather-Priority Restock,373742.51845510333
CRITICAL,140,"Dallas, TX",Electronics,Headphones,Stormy,68,291.96308874552864,223.96308874552864,9,Weather-Priority Restock,368679.07816933945
CRITICAL,140,"Chicago, IL",Electronics,Washing Machine,Rainy,110,302.31115899351084,192.31115899351084,8,Weather-Priority Restock,320578.8558190027
CRITICAL,140,"Miami, FL",Electronics,Tablet,Rainy,82,327.7695208490775,245.76952084907748,8,Weather-Priority Restock,299735.5922371179
CRITICAL,140,"New York, NY",Appliances,Laptop,Stormy,131,323.0216023476664,192.02160234766637,10,Weather-Priority Restock,290463.397007221
CRITICAL,140,"Los Angeles, CA",Appliances,Washing Machine,Stormy,130,346.5376860650462,216.53768606504622,9,Weather-Priority Restock,265709.0638166969
CRITICAL,140,"New York, NY",Electronics,Fridge,Rainy,63,314.07789348620554,251.07789348620554,8,Weather-Priority Restock,254346.92765939594
CRITICAL,140,"Dallas, TX",Appliances,TV,Stormy,101,289.7563909329156,188.75639093291562,10,Weather-Priority Restock,251178.12941443082
CRITICAL,140,"Los Angeles, CA",Electronics,Washing Machine,Rainy,65,289.88327188229476,224.88327188229476,8,Weather-Priority Restock,217464.37274289786
CRITICAL,140,"Chicago, IL",Appliances,TV,Rainy,48,269.0507727558095,221.05077275580948,9,Weather-Priority Restock,216505.96886795005
CRITICAL,140,"New York, NY",Appliances,Fridge,Stormy,122,302.49827080239277,180.49827080239277,8,Weather-Priority Restock,213036.69407994012
CRITICAL,140,"New York, NY",Electronics,Laptop,Rainy,96,335.4248398153919,239.42483981539192,8,Weather-Priority Restock,209374.6281701621
CRITICAL,140,"Los Angeles, CA",Electronics,Fridge,Rainy,89,279.84831380067754,190.84831380067754,8,Weather-Priority Restock,198730.3491606455
CRITICAL,140,"Los Angeles, CA",Appliances,Fridge,Stormy,77,300.76720658736974,223.76720658736974,8,Weather-Priority Restock,192016.87764468786
CRITICAL,140,"New York, NY",Appliances,Headphones,Rainy,69,278.98701220949545,209.98701220949545,10,Weather-Priority Restock,168856.85612802158
CRITICAL,140,"Miami, FL",Appliances,Laptop,Rainy,125,301.0041891345732,176.0041891345732,10,Weather-Priority Restock,157849.35702534197
CRITICAL,140,"New York, NY",Electronics,Camera,Rainy,118,307.11867753830757,189.11867753830757,10,Weather-Priority Restock,111965.8218497796
CRITICAL,140,"New York, NY",Appliances,Camera,Stormy,79,255.56010433133656,176.56010433133656,10,Weather-Priority Restock,107528.63473987058
CRITICAL,140,"New York, NY",Appliances,Smartphone,Rainy,66,282.3568693730285,216.35686937302847,8,Weather-Priority Restock,74227.7147444986
CRITICAL,140,"Dallas, TX",Electronics,TV,Stormy,62,363.63751966947115,301.63751966947115,8,Weather-Priority Restock,63548.992643964186
CRITICAL,120,"New York, NY",Electronics,TV,Stormy,105,333.6049887663074,228.60498876630737,8,Weather-Priority Restock,424213.13345408597
CRITICAL,120,"Dallas, TX",Electronics,Headphones,Rainy,22,302.7701452930746,280.7701452930746,7,Weather-Priority Restock,407285.172762134
CRITICAL,120,"Miami, FL",Appliances,Smartphone,Stormy,7,290.33615664506453,283.33615664506453,2,Weather-Priority Restock,404638.0320279495
CRITICAL,120,"Miami, FL",Electronics,Camera,Stormy,92,288.9301689810358,196.93016898103582,4,Weather-Priority Restock,341920.00589332345
CRITICAL,120,"New York, NY",Appliances,Fridge,Rainy,34,288.89669431912097,254.89669431912097,2,Weather-Priority Restock,341467.25861072406
CRITICAL,120,"Miami, FL",Appliances,Headphones,Rainy,1,283.6241555087349,282.6241555087349,5,Weather-Priority Restock,309394.3155185222
CRITICAL,120,"Los Angeles, CA",Electronics,Washing Machine,Stormy,97,283.22662621524233,186.22662621524233,3,Weather-Priority Restock,298791.3104310456
CRITICAL,120,"Dallas, TX",Appliances,Fridge,Rainy,103,265.4841653595941,162.4841653595941,4,Weather-Priority Restock,284763.2488426102
CRITICAL,120,"New York, NY",Electronics,Fridge,Stormy,54,291.8026713879615,237.80267138796148,2,Weather-Priority Restock,275401.65176111204
CRITICAL,120,"Chicago, IL",Appliances,Camera,Rainy,45,298.14207648495574,253.14207648495574,1,Weather-Priority Restock,274633.8387785285
CRITICAL,120,"Chicago, IL",Appliances,Tablet,Rainy,52,237.15737532567826,185.15737532567826,5,Weather-Priority Restock,271251.85170461214
CRITICAL,120,"Miami, FL",Appliances,Camera,Stormy,39,284.0182286129799,245.0182286129799,7,Weather-Priority Restock,260706.745791069
CRITICAL,120,"Dallas, TX",Electronics,Tablet,Stormy,117,302.1397844389488,185.13978443894882,8,Weather-Priority Restock,257562.76531577684
CRITICAL,120,"Miami, FL",Electronics,Tablet,Rainy,100,262.2648445796632,162.2648445796632,1,Weather-Priority Restock,254632.48470819066
CRITICAL,120,"Dallas, TX",Electronics,Smartphone,Stormy,128,281.4523249030521,153.4523249030521,3,Weather-Priority Restock,235219.3962276434
