transaction_id,transaction_date,store_location,category,product_name,actual_demand,forecasted_demand,demand_gap,inventory_level,reorder_point,weather_conditions,is_demand_shock,stockout_indicator,revenue_at_risk
4743,2024-06-03 08:50:00,"Los Angeles, CA",Electronics,Washing Machine,480,428,52,125,93,Cloudy,False,True,663523.4
2820,2024-08-23 11:52:00,"Chicago, IL",Appliances,Smartphone,447,198,249,28,76,Stormy,False,True,660096.79
1061,2024-01-10 15:44:00,"Chicago, IL",Appliances,Laptop,363,255,108,1,147,Sunny,False,True,656877.96
3905,2024-08-18 02:48:00,"Dallas, TX",Electronics,TV,490,338,152,58,89,Rainy,False,True,651896.64
4115,2024-07-19 11:10:00,"Dallas, TX",Electronics,Washing Machine,333,385,-52,0,122,Rainy,False,True,648833.85
1924,2024-07-25 00:36:00,"New York, NY",Electronics,Camera,368,258,110,1,76,Cloudy,False,True,648716.5399999999
4779,2024-05-22 11:56:00,"Miami, FL",Appliances,Smartphone,477,386,91,72,81,Rainy,False,True,645136.65
2622,2024-07-31 10:16:00,"Chicago, IL",Appliances,Camera,395,357,38,73,55,Stormy,False,True,635090.26
2174,2024-02-22 03:43:00,"Chicago, IL",Appliances,Tablet,444,450,-6,128,52,Stormy,False,True,623038.24
2979,2024-06-17 23:56:00,"Dallas, TX",Appliances,Fridge,381,423,-42,15,114,Cloudy,False,True,622415.94
1950,2024-04-17 02:21:00,"Dallas, TX",Appliances,Smartphone,491,419,72,40,67,Cloudy,False,True,616958.98
1787,2024-07-09 05:59:00,"New York, NY",Electronics,Washing Machine,458,112,346,99,129,Rainy,False,True,610055.88
1020,2024-03-03 21:57:00,"Miami, FL",Electronics,TV,365,269,96,51,50,Stormy,False,True,604048.08
413,2024-01-18 06:07:00,"Miami, FL",Appliances,Fridge,375,270,105,46,83,Stormy,False,True,603066.87
1123,2024-05-21 17:01:00,"Miami, FL",Electronics,Smartphone,394,443,-49,48,96,Stormy,False,True,599842.9
941,2024-09-11 13:09:00,"Miami, FL",Electronics,Camera,441,257,184,17,125,Sunny,False,True,597237.9199999999
3106,2024-01-19 23:25:00,"Miami, FL",Appliances,Camera,474,157,317,175,100,Stormy,False,True,595027.94
462,2024-03-03 01:49:00,"Miami, FL",Electronics,Smartphone,489,278,211,160,78,Cloudy,False,True,593430.46
1504,2024-04-13 03:47:00,"Miami, FL",Appliances,Tablet,366,209,157,53,54,Sunny,False,True,591344.64
1299,2024-04-20 06:17:00,"New York, NY",Appliances,Laptop,477,256,221,163,142,Stormy,False,True,590778.4400000001
2116,2024-04-02 02:03:00,"Chicago, IL",Appliances,Headphones,453,341,112,92,77,Cloudy,False,True,589036.48
2159,2024-06-26 12:17:00,"New York, NY",Electronics,Tablet,474,223,251,151,134,Sunny,False,True,587675.89
2313,2024-03-07 21:31:00,"Chicago, IL",Appliances,Washing Machine,476,348,128,150,85,Stormy,False,True,586372.9400000001
3340,2024-06-04 09:51:00,"Los Angeles, CA",Appliances,Tablet,506,124,382,54,78,Rainy,False,True,581561.28
1023,2024-02-21 02:51:00,"Los Angeles, CA",Electronics,Smartphone,419,470,-51,80,76,Sunny,False,True,579066.24
4984,2024-07-04 03:18:00,"Chicago, IL",Electronics,Fridge,504,397,107,13,60,Sunny,False,True,576306.34
1994,2024-04-26 14:27:00,"Chicago, IL",Appliances,Camera,333,432,-99,37,66,Stormy,False,True,574177.84
2852,2024-05-20 15:40:00,"New York, NY",Appliances,Smartphone,369,477,-108,30,61,Rainy,False,True,572554.05
4546,2024-08-19 03:39:00,"Dallas, TX",Electronics,Smartphone,473,433,40,25,98,Sunny,False,True,572051.2000000001
1048,2024-01-02 13:12:00,"Miami, FL",Appliances,TV,472,318,154,114,105,Sunny,False,True,571529.1
2922,2024-04-15 09:25:00,"Chicago, IL",Electronics,Smartphone,434,303,131,17,150,Rainy,False,True,571139.88
2413,2024-04-02 07:28:00,"Chicago, IL",Appliances,Laptop,489,370,119,124,129,Rainy,False,True,570524.2
3415,2024-05-19 23:26:00,"Dallas, TX",Appliances,Headphones,503,434,69,40,53,Stormy,False,True,569420.5499999999
4444,2024-08-26 18:05:00,"Chicago, IL",Appliances,Smartphone,397,322,75,43,148,Sunny,False,True,568647.9
1674,2024-01-26 01:22:00,"New York, NY",Appliances,Fridge,467,500,-33,94,150,Stormy,False,True,565270.31
1952,2024-01-01 16:24:00,"Miami, FL",Electronics,Tablet,499,353,146,195,51,Stormy,False,True,559454.24
1820,2024-07-28 09:45:00,"New York, NY",Electronics,TV,418,371,47,107,123,Cloudy,False,True,558636.86
4665,2024-08-30 23:07:00,"Los Angeles, CA",Appliances,Washing Machine,429,236,193,148,135,Cloudy,False,True,558422.87
595,2024-04-25 11:47:00,"Miami, FL",Electronics,TV,426,168,258,2,97,Cloudy,False,True,556173.52
2496,2024-05-20 01:13:00,"Miami, FL",Electronics,Washing Machine,497,373,124,34,150,Cloudy,False,True,555516.6599999999
494,2024-03-01 17:06:00,"Dallas, TX",Electronics,Smartphone,356,327,29,74,134,Cloudy,False,True,554206.14
1449,2024-03-01 15:11:00,"Chicago, IL",Appliances,Fridge,446,214,232,32,133,Rainy,False,True,553195.08
1821,2024-07-04 04:12:00,"Chicago, IL",Appliances,Washing Machine,310,194,116,10,84,Sunny,False,True,552819.0
3200,2024-05-23 22:42:00,"Miami, FL",Appliances,Washing Machine,468,349,119,163,55,Stormy,False,True,552446.5
2078,2024-01-09 17:43:00,"Los Angeles, CA",Appliances,Laptop,461,308,153,41,54,Stormy,False,True,548129.4
2705,2024-07-15 01:11:00,"Miami, FL",Electronics,Headphones,397,467,-70,2,92,Rainy,False,True,546802.45
1173,2024-03-28 01:56:00,"Los Angeles, CA",Electronics,Fridge,321,269,52,17,129,Stormy,False,True,546488.64
3708,2024-02-24 04:41:00,"New York, NY",Electronics,TV,497,381,116,128,101,Cloudy,False,True,545935.5
3133,2024-08-17 13:05:00,"Chicago, IL",Electronics,Laptop,483,426,57,17,50,Stormy,False,True,544856.52
594,2024-09-09 19:23:00,"New York, NY",Electronics,Smartphone,490,102,388,198,50,Sunny,False,True,543230.9600000001
2461,2024-06-04 08:44:00,"Chicago, IL",Appliances,Smartphone,318,306,12,15,110,Cloudy,False,True,542154.87
983,2024-03-13 09:54:00,"Miami, FL",Electronics,Fridge,386,415,-29,78,96,Sunny,False,True,540490.72
3716,2024-08-30 22:58:00,"Miami, FL",Appliances,Washing Machine,370,347,23,9,58,Cloudy,False,True,539236.53
3002,2024-05-19 22:55:00,"New York, NY",Appliances,Headphones,446,160,286,165,62,Stormy,False,True,537541.76
4962,2024-08-21 01:09:00,"Los Angeles, CA",Appliances,TV,452,411,41,28,107,Rainy,False,True,534998.96
2382,2024-03-16 01:56:00,"Miami, FL",Electronics,Fridge,340,203,137,67,112,Cloudy,False,True,534678.69
249,2024-07-08 09:55:00,"New York, NY",Electronics,Washing Machine,468,453,15,42,132,Rainy,False,True,532943.04
3539,2024-01-11 16:53:00,"Miami, FL",Appliances,Washing Machine,436,396,40,72,88,Cloudy,False,True,529321.52
1371,2024-05-06 13:38:00,"Chicago, IL",Appliances,Smartphone,451,470,-19,53,74,Sunny,False,True,529013.64
9,2024-03-30 04:10:00,"New York, NY",Electronics,Camera,428,476,-48,103,129,Sunny,False,True,528931.0
1271,2024-01-01 15:51:00,"Dallas, TX",Appliances,TV,506,376,130,18,130,Stormy,False,True,528401.52
3992,2024-04-10 22:48:00,"Dallas, TX",Electronics,Washing Machine,401,217,184,129,67,Sunny,False,True,525988.16
4780,2024-01-09 06:35:00,"Miami, FL",Electronics,Laptop,461,259,202,113,56,Stormy,False,True,525274.68
2101,2024-03-21 09:22:00,"Los Angeles, CA",Appliances,Fridge,373,423,-50,91,51,Sunny,False,True,524974.02
2141,2024-06-27 22:09:00,"Chicago, IL",Electronics,Camera,386,344,42,23,117,Rainy,False,True,524280.89999999997
4141,2024-02-02 01:46:00,"New York, NY",Appliances,Smartphone,467,492,-25,201,84,Stormy,False,True,523057.08
3971,2024-04-11 01:27:00,"Chicago, IL",Appliances,TV,343,209,134,49,116,Rainy,False,True,521832.36000000004
4569,2024-07-02 18:19:00,"New York, NY",Appliances,TV,401,222,179,5,109,Rainy,False,True,520237.08
4189,2024-06-18 15:49:00,"Dallas, TX",Electronics,Smartphone,480,208,272,73,131,Stormy,False,True,519104.08
3985,2024-07-20 19:55:00,"Chicago, IL",Appliances,TV,371,481,-110,43,75,Sunny,False,True,517318.32
3051,2024-05-31 18:37:00,"Chicago, IL",Electronics,Laptop,457,281,176,114,92,Sunny,False,True,516660.89999999997
3237,2024-06-19 11:49:00,"New York, NY",Electronics,Washing Machine,504,500,4,37,112,Sunny,False,True,513625.27999999997
3414,2024-04-01 20:47:00,"Chicago, IL",Electronics,Laptop,430,435,-5,114,89,Sunny,False,True,512868.0
3038,2024-05-03 02:57:00,"Miami, FL",Appliances,Tablet,453,113,340,6,68,Stormy,False,True,509369.91
463,2024-02-17 04:13:00,"Dallas, TX",Appliances,TV,403,463,-60,61,61,Cloudy,False,True,509149.08
1033,2024-01-28 23:17:00,"New York, NY",Appliances,Fridge,485,329,156,219,52,Cloudy,False,True,508844.7
3974,2024-08-14 23:11:00,"Los Angeles, CA",Electronics,Headphones,361,341,20,91,141,Sunny,False,True,503012.7
2973,2024-05-25 17:39:00,"Dallas, TX",Electronics,Tablet,429,117,312,94,99,Stormy,False,True,496473.35
3411,2024-02-25 13:54:00,"Dallas, TX",Appliances,Tablet,463,190,273,76,86,Stormy,False,True,495952.11
859,2024-07-18 15:59:00,"Los Angeles, CA",Electronics,Fridge,317,306,11,45,61,Rainy,False,True,495184.16
4929,2024-03-19 03:10:00,"New York, NY",Appliances,Tablet,444,377,67,24,64,Rainy,False,True,494919.60000000003
2563,2024-08-05 17:24:00,"Los Angeles, CA",Appliances,Smartphone,306,100,206,53,117,Stormy,False,True,493757.32999999996
2003,2024-03-28 06:29:00,"Chicago, IL",Appliances,TV,422,500,-78,147,111,Stormy,False,True,493465.5
1163,2024-04-15 18:08:00,"Los Angeles, CA",Electronics,Laptop,373,335,38,20,60,Rainy,False,True,493391.63
1636,2024-06-27 16:18:00,"Miami, FL",Electronics,Tablet,486,330,156,82,97,Rainy,False,True,492710.31999999995
658,2024-04-20 19:06:00,"Los Angeles, CA",Electronics,Camera,341,372,-31,65,107,Sunny,False,True,485895.24
4571,2024-01-27 02:23:00,"Los Angeles, CA",Electronics,Smartphone,347,496,-149,0,148,Stormy,False,True,484248.91
2411,2024-05-27 07:56:00,"Los Angeles, CA",Electronics,Washing Machine,456,140,316,127,131,Stormy,False,True,483952.42
1208,2024-07-12 06:32:00,"Dallas, TX",Electronics,Smartphone,411,198,213,54,70,Cloudy,False,True,482717.55000000005
1799,2024-03-30 10:48:00,"New York, NY",Appliances,Smartphone,483,442,41,208,148,Sunny,False,True,482273.0
1966,2024-05-28 08:28:00,"Chicago, IL",Appliances,Headphones,346,311,35,3,88,Rainy,False,True,479551.73
2840,2024-02-12 17:23:00,"Dallas, TX",Appliances,Tablet,462,430,32,114,138,Rainy,False,True,478437.36
2089,2024-05-15 06:58:00,"Los Angeles, CA",Electronics,TV,398,364,34,87,59,Stormy,False,True,477108.20999999996
1809,2024-07-02 13:55:00,"Los Angeles, CA",Electronics,Tablet,469,418,51,224,144,Stormy,False,True,476096.25
2525,2024-03-12 02:26:00,"Miami, FL",Appliances,Laptop,396,417,-21,105,149,Sunny,False,True,475537.65
4972,2024-01-11 22:13:00,"New York, NY",Electronics,TV,482,493,-11,71,134,Rainy,False,True,474059.73000000004
900,2024-01-02 20:59:00,"Miami, FL",Appliances,Laptop,498,151,347,156,133,Cloudy,False,True,472821.83999999997
2336,2024-07-28 07:41:00,"Los Angeles, CA",Appliances,Washing Machine,303,450,-147,53,57,Cloudy,False,True,472370.0
2945,2024-03-13 20:15:00,"New York, NY",Appliances,Fridge,440,166,274,27,74,Cloudy,False,True,472153.99
1657,2024-08-25 18:37:00,"Chicago, IL",Electronics,Washing Machine,393,204,189,110,148,Rainy,False,True,471755.34
3189,2024-05-10 17:43:00,"Chicago, IL",Electronics,Laptop,346,203,143,101,85,Cloudy,False,True,471402.05
4210,2024-03-26 10:49:00,"Dallas, TX",Electronics,Tablet,499,400,99,28,56,Sunny,False,True,469888.44
692,2024-09-05 02:18:00,"Miami, FL",Appliances,TV,477,337,140,211,92,Stormy,False,True,466494.84
4663,2024-07-19 14:38:00,"New York, NY",Electronics,TV,457,381,76,59,131,Stormy,False,True,465277.92
4559,2024-08-10 22:25:00,"Los Angeles, CA",Electronics,Smartphone,314,497,-183,13,104,Rainy,False,True,463780.8
3975,2024-08-19 16:14:00,"New York, NY",Appliances,Washing Machine,509,283,226,258,79,Cloudy,False,True,459676.38
1448,2024-04-09 21:51:00,"Los Angeles, CA",Appliances,Washing Machine,500,180,320,238,133,Cloudy,False,True,457674.69999999995
3076,2024-01-27 19:26:00,"Miami, FL",Appliances,Fridge,386,412,-26,61,64,Rainy,False,True,457671.5
485,2024-05-07 04:38:00,"Miami, FL",Appliances,Tablet,504,434,70,191,148,Cloudy,False,True,456670.13
1465,2024-04-13 23:11:00,"Miami, FL",Electronics,TV,469,221,248,158,96,Stormy,False,True,456009.97
1588,2024-01-08 19:28:00,"Dallas, TX",Electronics,Fridge,504,484,20,70,116,Sunny,False,True,455031.64
1289,2024-05-28 06:15:00,"Chicago, IL",Appliances,Laptop,418,306,112,18,58,Rainy,False,True,451743.99999999994
311,2024-05-27 23:21:00,"Chicago, IL",Electronics,Washing Machine,439,351,88,177,148,Rainy,False,True,451494.12
1906,2024-03-21 16:01:00,"Los Angeles, CA",Appliances,Headphones,472,359,113,210,62,Rainy,False,True,451436.48
2260,2024-08-05 15:51:00,"Chicago, IL",Electronics,TV,293,407,-114,64,141,Stormy,False,True,451278.85000000003
124,2024-01-06 04:49:00,"New York, NY",Appliances,Tablet,386,192,194,127,122,Sunny,False,True,448310.87
78,2024-06-04 11:51:00,"Miami, FL",Appliances,Camera,506,268,238,182,74,Rainy,False,True,447473.16
1961,2024-08-12 22:27:00,"Dallas, TX",Appliances,Washing Machine,357,225,132,30,100,Cloudy,False,True,447208.47
2291,2024-01-12 09:55:00,"Dallas, TX",Appliances,Fridge,432,408,24,102,121,Sunny,False,True,445417.5
7,2024-03-17 22:33:00,"Dallas, TX",Appliances,Laptop,257,178,79,24,52,Sunny,False,True,443795.10000000003
3463,2024-09-01 23:24:00,"Los Angeles, CA",Appliances,Laptop,414,127,287,180,138,Stormy,False,True,443053.26
555,2024-01-07 14:14:00,"Miami, FL",Electronics,TV,375,422,-47,120,138,Stormy,False,True,442817.7
346,2024-02-22 05:23:00,"Los Angeles, CA",Electronics,Laptop,415,214,201,158,55,Rainy,False,True,441752.16000000003
3764,2024-07-03 00:09:00,"Dallas, TX",Appliances,Fridge,348,281,67,24,106,Stormy,False,True,440895.95999999996
1219,2024-06-10 06:05:00,"Miami, FL",Appliances,Smartphone,465,164,301,73,136,Sunny,False,True,440557.04
384,2024-07-21 02:36:00,"Dallas, TX",Electronics,Laptop,493,317,176,179,113,Sunny,False,True,440444.66000000003
2753,2024-04-20 18:14:00,"Dallas, TX",Electronics,Laptop,402,131,271,136,150,Rainy,False,True,439416.04000000004
4167,2024-06-09 10:56:00,"Miami, FL",Appliances,Camera,483,325,158,188,112,Rainy,False,True,438364.1
559,2024-05-30 00:08:00,"Los Angeles, CA",Appliances,Tablet,357,487,-130,68,74,Rainy,False,True,436520.05
973,2024-08-29 18:31:00,"Los Angeles, CA",Electronics,Headphones,395,476,-81,96,146,Cloudy,False,True,435613.10000000003
3406,2024-03-09 11:01:00,"Los Angeles, CA",Electronics,Camera,433,145,288,88,119,Rainy,False,True,435338.24999999994
1716,2024-05-01 05:30:00,"Dallas, TX",Appliances,TV,400,473,-73,128,72,Cloudy,False,True,434696.80000000005
1864,2024-09-11 16:41:00,"Chicago, IL",Electronics,TV,486,109,377,120,85,Sunny,False,True,431243.16
2908,2024-06-14 19:21:00,"Los Angeles, CA",Electronics,Fridge,320,176,144,51,60,Stormy,False,True,431040.22000000003
2328,2024-08-19 02:41:00,"Miami, FL",Appliances,Headphones,251,457,-206,29,106,Cloudy,False,True,429789.78
601,2024-05-12 23:09:00,"Los Angeles, CA",Electronics,Smartphone,284,198,86,6,115,Stormy,False,True,429699.04000000004
2255,2024-06-03 19:03:00,"Los Angeles, CA",Electronics,Washing Machine,275,193,82,14,70,Stormy,False,True,429472.89
1666,2024-05-11 19:37:00,"Los Angeles, CA",Electronics,Laptop,379,220,159,142,113,Cloudy,False,True,427713.9
558,2024-08-12 07:58:00,"Los Angeles, CA",Appliances,Tablet,313,206,107,61,95,Sunny,False,True,426847.68
172,2024-08-04 19:14:00,"Chicago, IL",Electronics,Laptop,369,331,38,80,131,Rainy,False,True,424673.94
3085,2024-03-28 13:24:00,"Miami, FL",Appliances,Headphones,256,244,12,4,106,Rainy,False,True,423662.4
4267,2024-01-10 17:09:00,"New York, NY",Appliances,Headphones,299,337,-38,19,77,Sunny,False,True,422620.8
1705,2024-05-11 03:06:00,"Los Angeles, CA",Appliances,Smartphone,298,441,-143,0,76,Cloudy,False,True,421678.94
714,2024-07-17 01:14:00,"Dallas, TX",Electronics,Camera,466,148,318,40,107,Stormy,False,True,419840.04
2923,2024-02-26 02:57:00,"Dallas, TX",Electronics,Washing Machine,377,313,64,73,54,Cloudy,False,True,418434.72000000003
696,2024-03-12 00:53:00,"New York, NY",Appliances,Tablet,301,283,18,34,104,Rainy,False,True,418405.01999999996
1747,2024-03-28 00:27:00,"New York, NY",Electronics,Camera,489,327,162,177,146,Sunny,False,True,416435.76
3577,2024-08-13 17:19:00,"Los Angeles, CA",Appliances,Tablet,491,460,31,275,146,Cloudy,False,True,416417.75999999995
1206,2024-05-04 04:25:00,"Chicago, IL",Appliances,Tablet,296,407,-111,53,83,Sunny,False,True,413255.52
1990,2024-08-29 02:19:00,"Miami, FL",Appliances,Laptop,294,249,45,68,106,Rainy,False,True,411498.54
3284,2024-04-09 01:18:00,"Miami, FL",Appliances,Fridge,239,410,-171,9,98,Rainy,False,True,411364.2
2843,2024-08-11 07:19:00,"New York, NY",Electronics,Tablet,391,313,78,131,139,Cloudy,False,True,404848.6
3256,2024-01-16 12:58:00,"Los Angeles, CA",Electronics,TV,474,319,155,154,129,Cloudy,False,True,403942.39999999997
1087,2024-08-28 08:29:00,"Chicago, IL",Appliances,Headphones,506,335,171,38,144,Cloudy,False,True,403486.2
2696,2024-01-04 21:58:00,"Chicago, IL",Electronics,Tablet,500,446,54,280,60,Rainy,False,True,400899.4
3970,2024-03-06 01:34:00,"Miami, FL",Appliances,Washing Machine,216,307,-91,15,79,Cloudy,False,True,400373.91000000003
1211,2024-01-10 09:45:00,"Los Angeles, CA",Electronics,Camera,381,298,83,162,114,Rainy,False,True,400010.07
4057,2024-04-09 16:51:00,"Miami, FL",Appliances,Smartphone,483,161,322,63,50,Cloudy,False,True,397412.4
809,2024-07-15 07:39:00,"New York, NY",Appliances,Fridge,503,332,171,232,131,Rainy,False,True,397210.12
533,2024-05-01 00:43:00,"Dallas, TX",Electronics,Fridge,359,421,-62,82,144,Stormy,False,True,396508.88
1726,2024-04-26 05:19:00,"Chicago, IL",Appliances,Fridge,398,173,225,142,63,Sunny,False,True,396375.04
1939,2024-01-03 11:14:00,"Dallas, TX",Appliances,Tablet,382,108,274,180,77,Stormy,False,True,395938.18
3680,2024-03-20 23:40:00,"Chicago, IL",Electronics,Smartphone,317,436,-119,25,53,Stormy,False,True,393636.44
673,2024-05-24 08:28:00,"New York, NY",Appliances,Tablet,265,175,90,6,150,Stormy,False,True,393022.14
1743,2024-02-15 21:20:00,"Dallas, TX",Electronics,Washing Machine,203,197,6,1,140,Cloudy,False,True,391865.86
334,2024-02-19 18:35:00,"Los Angeles, CA",Electronics,Smartphone,393,313,80,175,150,Cloudy,False,True,388587.18
4843,2024-08-31 08:48:00,"Miami, FL",Electronics,TV,299,389,-90,34,65,Rainy,False,True,387151.75
2362,2024-09-09 22:49:00,"Miami, FL",Appliances,Fridge,199,112,87,2,95,Cloudy,False,True,386852.84
4232,2024-04-17 01:05:00,"Chicago, IL",Appliances,Washing Machine,341,189,152,36,149,Rainy,False,True,386404.5
4437,2024-01-15 10:25:00,"Dallas, TX",Appliances,Tablet,349,329,20,32,75,Cloudy,False,True,385123.30000000005
1080,2024-07-04 22:56:00,"Dallas, TX",Appliances,Washing Machine,347,150,197,133,107,Stormy,False,True,385112.26
90,2024-09-16 10:49:00,"New York, NY",Electronics,TV,254,106,148,56,90,Sunny,False,True,382157.82
1308,2024-04-30 11:39:00,"Chicago, IL",Appliances,Fridge,398,197,201,158,103,Stormy,False,True,382056.0
2695,2024-07-12 18:42:00,"Los Angeles, CA",Appliances,Washing Machine,441,488,-47,130,137,Stormy,False,True,381621.88
4624,2024-06-28 16:33:00,"Dallas, TX",Appliances,TV,387,368,19,101,135,Stormy,False,True,380580.2
545,2024-02-06 13:42:00,"Los Angeles, CA",Electronics,TV,505,213,292,92,136,Sunny,False,True,380339.95999999996
2102,2024-08-29 05:44:00,"Miami, FL",Electronics,Headphones,510,374,136,80,55,Cloudy,False,True,380175.9
1180,2024-08-25 18:31:00,"Chicago, IL",Electronics,Headphones,370,400,-30,131,100,Sunny,False,True,377218.48
303,2024-04-01 03:05:00,"New York, NY",Appliances,Laptop,447,209,238,35,101,Cloudy,False,True,377165.4
3404,2024-01-13 08:12:00,"Miami, FL",Electronics,TV,246,330,-84,38,111,Stormy,False,True,376827.36
279,2024-07-26 05:15:00,"Chicago, IL",Appliances,Tablet,482,186,296,132,133,Rainy,False,True,376400.5
1521,2024-05-17 00:47:00,"Chicago, IL",Electronics,Laptop,327,305,22,38,100,Stormy,False,True,376000.56
260,2024-07-21 11:57:00,"Dallas, TX",Appliances,Washing Machine,504,162,342,298,55,Rainy,False,True,375694.56
3007,2024-04-25 07:01:00,"New York, NY",Appliances,Smartphone,330,469,-139,119,52,Stormy,False,True,374991.31
2706,2024-06-15 23:22:00,"Dallas, TX",Electronics,Camera,299,445,-146,30,95,Cloudy,False,True,374673.95999999996
778,2024-08-28 13:26:00,"Dallas, TX",Electronics,Fridge,325,160,165,102,52,Rainy,False,True,373870.64999999997
3298,2024-05-17 11:15:00,"Dallas, TX",Appliances,Headphones,508,334,174,21,52,Sunny,False,True,373684.84
1084,2024-06-06 14:20:00,"Miami, FL",Appliances,Camera,390,368,22,103,87,Rainy,False,True,372290.66000000003
3491,2024-05-24 16:07:00,"Los Angeles, CA",Electronics,TV,493,246,247,250,127,Cloudy,False,True,372023.28
2748,2024-02-15 23:58:00,"Los Angeles, CA",Appliances,TV,444,377,67,78,114,Stormy,False,True,370919.04000000004
2039,2024-03-28 17:19:00,"Dallas, TX",Appliances,Tablet,260,234,26,34,73,Rainy,False,True,370753.0
2886,2024-01-10 07:47:00,"New York, NY",Appliances,Headphones,504,443,61,166,70,Cloudy,False,True,370488.55999999994
1302,2024-04-11 17:22:00,"Miami, FL",Electronics,TV,369,296,73,36,106,Rainy,False,True,369600.03
1146,2024-03-25 23:32:00,"Chicago, IL",Electronics,TV,356,366,-10,26,71,Rainy,False,True,368095.2
2323,2024-05-28 00:36:00,"Miami, FL",Appliances,Smartphone,414,220,194,69,66,Stormy,False,True,367780.35
2521,2024-01-24 18:52:00,"Los Angeles, CA",Electronics,Camera,359,236,123,128,95,Cloudy,False,True,364009.8
832,2024-02-07 11:48:00,"Dallas, TX",Appliances,Tablet,439,187,252,182,124,Rainy,False,True,363128.15
75,2024-01-08 06:33:00,"Los Angeles, CA",Electronics,Washing Machine,487,332,155,233,53,Cloudy,False,True,362612.94
2929,2024-05-04 06:55:00,"Miami, FL",Appliances,Tablet,413,220,193,36,145,Sunny,False,True,361324.33999999997
4785,2024-02-14 10:30:00,"Los Angeles, CA",Electronics,Smartphone,428,190,238,227,147,Cloudy,False,True,361291.47000000003
1539,2024-03-19 20:49:00,"Dallas, TX",Electronics,Laptop,203,283,-80,4,142,Sunny,False,True,361097.44
4432,2024-08-21 13:33:00,"Chicago, IL",Electronics,Washing Machine,397,360,37,88,72,Stormy,False,True,360578.28
